project,fuzz_target,arch,bug_count
gdal,gdal_fuzzer,x86_64,1
gdal,gdal_translate_fuzzer,x86_64,1
gdal,lvbag_fuzzer,x86_64,1
gdal,mitab_tab_fuzzer,x86_64,1
gdal,ods_fuzzer,x86_64,1
ghostscript,gs_device_bmpmono_fuzzer,x86_64,3
ghostscript,gs_device_eps2write_fuzzer,x86_64,4
ghostscript,gs_device_faxg3_fuzzer,x86_64,3
ghostscript,gs_device_pdfwrite_fuzzer,x86_64,27
ghostscript,gs_device_pdfwrite_opts_fuzzer,x86_64,4
ghostscript,gs_device_pgmraw_fuzzer,x86_64,2
ghostscript,gs_device_ps2write_fuzzer,x86_64,9
ghostscript,gs_device_psdcmyk_fuzzer,x86_64,4
ghostscript,gs_device_pxlcolor_fuzzer,x86_64,2
ghostscript,gs_device_pxlmono_fuzzer,x86_64,3
ghostscript,gs_device_tiffsep1_fuzzer,x86_64,5
ghostscript,gs_device_xpswrite_fuzzer,x86_64,7
ghostscript,gstoraster_fuzzer,x86_64,109
ghostscript,gstoraster_fuzzer_all_colors,x86_64,2
ghostscript,gstoraster_pdf_fuzzer,x86_64,6
ghostscript,gstoraster_ps_fuzzer,x86_64,2
glib,fuzz_bookmark,x86_64,1
glib,fuzz_date_time_new_from_iso8601,x86_64,1
glib,fuzz_uri_escape,x86_64,1
glib,fuzz_uri_parse,x86_64,1
glib,fuzz_uri_parse_params,x86_64,1
gnutls,gnutls_x509_crl_parser_fuzzer,x86_64,1
gpac,fuzz_parse,x86_64,2
gpac,fuzz_probe_analyze,x86_64,8
gpsd,FuzzPacket,x86_64,3
grok,grk_decompress_fuzzer,x86_64,12
gstreamer,gst-discoverer,x86_64,3
h2o,h2o-fuzzer-http2,x86_64,1
h2o,h2o-fuzzer-http3,x86_64,1
haproxy,fuzz_cfg_parser,x86_64,3
harfbuzz,hb-draw-fuzzer,x86_64,9
harfbuzz,hb-shape-fuzzer,i386,1
harfbuzz,hb-shape-fuzzer,x86_64,11
harfbuzz,hb-subset-fuzzer,i386,14
harfbuzz,hb-subset-fuzzer,x86_64,30
hdf5,h5_extended_fuzzer,x86_64,17
hostap,p2p,x86_64,1
hostap,x509,i386,2
htslib,hts_open_fuzzer,x86_64,24
hunspell,affdicfuzzer,i386,6
hunspell,affdicfuzzer,x86_64,18
icu,calendar_fuzzer,x86_64,1
icu,collator_compare_fuzzer,x86_64,1
icu,collator_rulebased_fuzzer,x86_64,2
icu,date_format_fuzzer,x86_64,2
icu,locale_morph_fuzzer,x86_64,1
icu,plurrule_fuzzer,x86_64,1
icu,relative_date_time_formatter_fuzzer,x86_64,2
icu,time_zone_names_fuzzer,x86_64,1
icu,ubidi_fuzzer,x86_64,1
icu,ucasemap_fuzzer,x86_64,1
icu,uloc_canonicalize_fuzzer,x86_64,1
icu,uloc_is_right_to_left_fuzzer,x86_64,1
irssi,server-fuzz,x86_64,4
jbig2dec,jbig2_fuzzer,x86_64,8
jq,jq_fuzz_compile,x86_64,2
jq,jq_fuzz_execute,x86_64,7
jq,jq_fuzz_fixed,x86_64,3
jq,jq_fuzz_parse_extended,x86_64,1
json-c,tokener_parse_ex_fuzzer,i386,1
kamailio,fuzz_parse_msg,x86_64,19
krb5,fuzz_kdc,x86_64,1
lcms,cms_cgats_fuzzer,x86_64,1
lcms,cms_postscript_fuzzer,i386,1
lcms,cms_profile_fuzzer,i386,2
lcms,cms_profile_fuzzer,x86_64,7
lcms,cms_transform_all_fuzzer,i386,2
lcms,cms_transform_all_fuzzer,x86_64,8
lcms,cms_universal_transform_fuzzer,i386,1
lcms,cms_universal_transform_fuzzer,x86_64,1
lcms,cms_virtual_profile_fuzzer,x86_64,1
lcms,cmsIT8_load_fuzzer,x86_64,2
leptonica,adaptmap_fuzzer,x86_64,1
leptonica,barcode_fuzzer,x86_64,2
leptonica,ccbord_fuzzer,x86_64,1
leptonica,colorquant_fuzzer,x86_64,2
leptonica,dewarp_fuzzer,x86_64,1
leptonica,enhance_fuzzer,x86_64,1
leptonica,fpix2_fuzzer,x86_64,1
leptonica,graphics_fuzzer,x86_64,1
leptonica,morph_fuzzer,x86_64,1
leptonica,pix3_fuzzer,x86_64,2
leptonica,pix_rotate_shear_fuzzer,x86_64,4
libaom,av1_dec_fuzzer,x86_64,9
libarchive,libarchive_fuzzer,x86_64,10
libass,libass_fuzzer,x86_64,2
libavc,avc_dec_fuzzer,i386,6
libavc,avc_dec_fuzzer,x86_64,8
libavc,avc_enc_fuzzer,x86_64,1
libavc,mvc_dec_fuzzer,i386,2
libavc,mvc_dec_fuzzer,x86_64,3
libavc,svc_dec_fuzzer,i386,1
libavc,svc_dec_fuzzer,x86_64,21
libavc,svc_enc_fuzzer,i386,1
libavc,svc_enc_fuzzer,x86_64,3
libavif,avif_decode_fuzzer,x86_64,6
libavif,avif_fuzztest_enc_dec_incr@EncodeDecodeAvifFuzzTest.EncodeDecodeGridValid,x86_64,1
libavif,avif_fuzztest_properties@PropertiesAvifFuzzTest.PropsValid,x86_64,3
libavif,avif_fuzztest_yuvrgb@YuvRgbFuzzTest.Convert,x86_64,1
libbpf,bpf-object-fuzzer,x86_64,3
libcbor,cbor_load_fuzzer,x86_64,2
libcoap,pdu_parse_fuzzer,x86_64,4
libdwarf,fuzz_die_cu_attrs,x86_64,1
libdwarf,fuzz_die_cu_print,x86_64,1
libdwarf,fuzz_findfuncbypc,x86_64,1
libdwarf,fuzz_globals,x86_64,1
libdwarf,fuzz_init_path,x86_64,2
libdwarf,fuzz_macro_dwarf4,x86_64,1
libdwarf,fuzz_set_frame_all,x86_64,1
libdwarf,fuzz_srcfiles,x86_64,2
libdwarf,fuzz_stack_frame_access,x86_64,1
libecc,cryptofuzz-libecc,x86_64,2
libexif,exif_from_data_fuzzer,x86_64,6
libexif,exif_loader_fuzzer,x86_64,5
libgit2,commit_graph_fuzzer,x86_64,1
libgit2,download_refs_fuzzer,x86_64,1
libgit2,patch_parse_fuzzer,x86_64,2
libheif,color-conversion-fuzzer,x86_64,2
libheif,encoder-fuzzer,x86_64,1
libheif,file-fuzzer,i386,1
libheif,file-fuzzer,x86_64,3
libheif,file_fuzzer,x86_64,1
libhevc,hevc_dec_fuzzer,i386,11
libhevc,hevc_dec_fuzzer,x86_64,13
libhtp,fuzz_htp,x86_64,5
libical,libical_fuzzer,x86_64,3
libjpeg-turbo,compress_fuzzer,x86_64,1
libjpeg-turbo,decompress_yuv_fuzzer_2_1_x,x86_64,1
libjpeg-turbo,decompress_yuv_fuzzer_3_0_x,x86_64,1
libjpeg-turbo,libjpeg_turbo_fuzzer,i386,1
libjpeg-turbo,libjpeg_turbo_fuzzer,x86_64,1
libjpeg-turbo,transform_fuzzer_2_0_x,x86_64,1
libjxl,djxl_fuzzer,x86_64,23
liblouis,fuzz_translate_generic,x86_64,3
libmpeg2,mpeg2_dec_fuzzer,i386,1
libmpeg2,mpeg2_dec_fuzzer,x86_64,5
libpcap,fuzz_both,x86_64,2
libpcap,fuzz_pcap,x86_64,1
libplist,jplist_fuzzer,x86_64,7
libplist,oplist_fuzzer,x86_64,2
libraw,libraw_cr2_fuzzer,x86_64,5
libraw,libraw_fuzzer,x86_64,2
libraw,libraw_nef_fuzzer,x86_64,3
libraw,libraw_raf_fuzzer,x86_64,4
libredwg,llvmfuzz,x86_64,68
libressl,asn1,x86_64,1
libressl,client,x86_64,1
libspdm,test_spdm_responder_chunk_send_ack,x86_64,1
libspectre,spectre_read_fuzzer,x86_64,5
libspng,spng_read_fuzzer,x86_64,6
libsrtp,srtp-fuzzer,x86_64,1
libssh,ssh_client_fuzzer,x86_64,1
libssh2,ssh2_client_fuzzer,x86_64,6
libtiff,tiff_read_rgba_fuzzer,x86_64,2
libtpms,fuzz,x86_64,2
libtsm,libtsm_fuzzer,x86_64,2
libucl,ucl_add_string_fuzzer,x86_64,4
libvips,gifsave_buffer_fuzzer,x86_64,2
libvips,heifsave_buffer_fuzzer,x86_64,1
libvips,jpegsave_buffer_fuzzer,x86_64,3
libvips,jpegsave_file_fuzzer,x86_64,5
libvips,matrixsave_buffer_fuzzer,x86_64,1
libvips,mosaic_fuzzer,x86_64,3
libvips,pngsave_buffer_fuzzer,x86_64,6
libvips,sharpen_fuzzer,x86_64,2
libvips,smartcrop_fuzzer,x86_64,2
libvips,thumbnail_fuzzer,x86_64,2
libvips,webpsave_buffer_fuzzer,x86_64,4
libvpx,vpx_dec_fuzzer_vp8,x86_64,1
libvpx,vpx_dec_fuzzer_vp9,x86_64,3
libwebp,advanced_api_fuzzer,x86_64,1
libwebp,advanced_api_fuzzer@AdvancedApi.AdvancedApiTest,x86_64,1
libwebp,enc_dec_fuzzer,x86_64,1
libwebp,enc_fuzzer@Enc.EncTest,x86_64,1
libwebp,imageio_fuzzer@ImageIOSuite.Decode,x86_64,1
libwebp,mux_demux_api_fuzzer@MuxDemuxApi.MuxDemuxApiTest,x86_64,1
libwebp,simple_api_fuzzer@SimpleApi.SimpleApiTest,x86_64,1
libxaac,xaac_enc_fuzzer,i386,1
libxaac,xaac_enc_fuzzer,x86_64,4
libxml2,api,i386,1
libxml2,api,x86_64,5
libxml2,html,i386,6
libxml2,html,x86_64,10
libxml2,schema,i386,1
libxml2,schema,x86_64,5
libxml2,valid,x86_64,2
libxml2,xinclude,x86_64,4
libxml2,xml,i386,5
libxml2,xml,x86_64,13
libxml2,xpath,x86_64,1
libxslt,xpath,x86_64,2
libxslt,xslt,x86_64,3
libyal,libfsext_file_entry_fuzzer,x86_64,2
libzip,zip_read_fuzzer,x86_64,1
libzmq,socket_connect_fuzzer,x86_64,1
libzmq,test_bind_ws_fuzzer,x86_64,1
libzmq,test_connect_ws_fuzzer,x86_64,1
libzmq,test_socket_options_fuzzer,x86_64,1
lua,fuzz_lua,x86_64,6
lwan,config_fuzzer,x86_64,6
lwan,h2_huffman_fuzzer,x86_64,1
lwan,template_fuzzer,x86_64,3
lxc,fuzz-lxc-define-load,x86_64,1
lz4,round_trip_frame_uncompressed_fuzzer,x86_64,2
lz4,round_trip_fuzzer,x86_64,1
mapserver,mapfuzzer,x86_64,5
matio,matio_fuzzer,i386,1
matio,matio_fuzzer,x86_64,49
mbedtls,fuzz_pkcs7,x86_64,1
md4c,fuzz-mdhtml,x86_64,2
mdbtools,fuzz_mdb,x86_64,2
miniz,uncompress_fuzzer,x86_64,2
miniz,zip_fuzzer,x86_64,2
mongoose,fuzz,x86_64,7
mosquitto,broker_fuzz_test_config,x86_64,5
mosquitto,dynsec_fuzz_load,x86_64,1
mruby,mruby_fuzzer,x86_64,60
mruby,mruby_proto_fuzzer,x86_64,11
mupdf,pdf_fuzzer,x86_64,1
mysql-server,fuzz_stmt_fetch,x86_64,1
nanopb,fuzztest,x86_64,3
ndpi,fuzz_alg_shoco,x86_64,1
ndpi,fuzz_config,x86_64,1
ndpi,fuzz_filecfg_protocols,x86_64,2
ndpi,fuzz_ndpi_reader,x86_64,46
ndpi,fuzz_ndpi_reader_alloc_fail,x86_64,3
ndpi,fuzz_ndpi_reader_pl7m,x86_64,1
ndpi,fuzz_ndpi_reader_pl7m_64k,x86_64,1
ndpi,fuzz_ndpi_reader_pl7m_internal,x86_64,1
ndpi,fuzz_ndpi_reader_pl7m_simplest,x86_64,1
ndpi,fuzz_ndpi_reader_pl7m_simplest_internal,x86_64,2
ndpi,fuzz_process_packet,x86_64,78
ndpi,fuzz_quic_get_crypto_data,x86_64,2
ndpi,fuzz_serialization,x86_64,1
ndpi,fuzz_tls_certificate,x86_64,2
net-snmp,snmp_api_fuzzer,x86_64,7
net-snmp,snmp_config_fuzzer,x86_64,1
net-snmp,snmp_e2e_fuzzer,x86_64,1
net-snmp,snmp_mib_fuzzer,x86_64,1
net-snmp,snmp_parse_args_fuzzer,x86_64,8
net-snmp,snmp_print_var_fuzzer,x86_64,2
ntopng,fuzz_dissect_packet,x86_64,20
oniguruma,fuzzer,x86_64,9
open62541,fuzz_binary_decode,x86_64,1
open62541,fuzz_binary_message,x86_64,6
open62541,fuzz_json_decode,x86_64,3
open62541,fuzz_json_decode_encode,x86_64,4
open62541,fuzz_mdns_xht,x86_64,1
open62541,fuzz_tcp_message,x86_64,1
openjpeg,opj_decompress_fuzzer,x86_64,1
openjpeg,opj_decompress_fuzzer_J2K,x86_64,1
openjpeg,opj_decompress_fuzzer_JP2,x86_64,1
opensc,fuzz_asn1_print,x86_64,1
opensc,fuzz_asn1_sig_value,x86_64,1
opensc,fuzz_card,x86_64,6
opensc,fuzz_pkcs11,x86_64,4
opensc,fuzz_pkcs15_crypt,x86_64,4
opensc,fuzz_pkcs15_decode,x86_64,7
opensc,fuzz_pkcs15_encode,x86_64,1
opensc,fuzz_pkcs15_reader,x86_64,27
opensc,fuzz_pkcs15_tool,x86_64,2
opensc,fuzz_pkcs15init,x86_64,26
opensips,fuzz_msg_parser,x86_64,5
openssl,client,x86_64,2
openssl,provider,i386,1
openssl,provider,x86_64,2
openssl,x509,x86_64,1
openthread,cli-uart-received-fuzzer,x86_64,5
openthread,ip6-send-fuzzer,x86_64,4
openthread,ncp-uart-received-fuzzer,x86_64,4
openthread,ot-cli-received-fuzzer,x86_64,2
openthread,radio-receive-done-fuzzer,x86_64,2
openvpn,fuzz_proxy,x86_64,1
openvswitch,odp_target,x86_64,5
openvswitch,ofp_print_target,x86_64,1
p11-kit,rpc_fuzzer,x86_64,2
pcre2,pcre2_fuzzer,x86_64,3
pcre2,pcre2_fuzzer_16,x86_64,1
pcre2,pcre2_fuzzer_16_4l,x86_64,1
pcre2,pcre2_fuzzer_32_3l,x86_64,2
pcre2,pcre2_fuzzer_32_4l,x86_64,2
pcre2,pcre2_fuzzer_3l,x86_64,1
pcre2,pcre2_fuzzer_4l,x86_64,1
php,php-fuzz-execute,i386,4
php,php-fuzz-execute,x86_64,16
php,php-fuzz-exif,i386,1
php,php-fuzz-exif,x86_64,5
php,php-fuzz-function-jit,i386,1
php,php-fuzz-function-jit,x86_64,4
php,php-fuzz-parser,i386,1
php,php-fuzz-parser,x86_64,6
php,php-fuzz-tracing-jit,i386,4
php,php-fuzz-tracing-jit,x86_64,7
php,php-fuzz-unserialize,x86_64,1
pidgin,pidgin_xml_fuzzer,x86_64,1
pjsip,fuzz-crypto,x86_64,1
poppler,annot_fuzzer,x86_64,4
poppler,label_fuzzer,x86_64,1
poppler,page_search_fuzzer,x86_64,2
poppler,pdf_fuzzer,x86_64,8
poppler,qt_annot_fuzzer,x86_64,2
poppler,qt_search_fuzzer,x86_64,1
qemu,qemu-fuzz-i386-target-generic-fuzz-e1000e,x86_64,1
qemu,qemu-fuzz-i386-target-generic-fuzz-megaraid,x86_64,1
qemu,qemu-fuzz-i386-target-generic-fuzz-pc-i440fx,x86_64,1
qemu,qemu-fuzz-i386-target-generic-fuzz-pc-q35,x86_64,1
qemu,qemu-fuzz-i386-target-generic-fuzz-sdhci-v3,x86_64,2
qemu,qemu-fuzz-i386-target-generic-fuzz-virtio-9p-synth,x86_64,2
qemu,qemu-fuzz-i386-target-generic-fuzz-virtio-blk,x86_64,1
qemu,qemu-fuzz-i386-target-generic-fuzz-virtio-net-pci-slirp,x86_64,2
qpdf,dct_fuzzer,x86_64,1
qpdf,future_qpdf_crypt_insecure_fuzzer,x86_64,1
qpdf,qpdf_fuzzer,x86_64,6
quickjs,fuzz_compile,x86_64,8
quickjs,fuzz_eval,x86_64,9
radare2,ia_fuzz,x86_64,27
readstat,fuzz_format_sav,x86_64,3
relic,cryptofuzz-relic,x86_64,3
rnp,fuzz_dump,x86_64,1
rnp,fuzz_keyring_kbx,x86_64,2
rtpproxy,fuzz_command_parser,x86_64,1
ruby,fuzz_ruby_gems,x86_64,2
s2opc,decode_fuzzer,x86_64,1
selinux,binpolicy-fuzzer,x86_64,4
selinux,secilc-fuzzer,x86_64,7
skcms,iccprofile_atf,x86_64,1
skcms,iccprofile_info,x86_64,1
stb,stbi_read_fuzzer,x86_64,10
sudoers,fuzz_policy,x86_64,2
sudoers,fuzz_sudoers,x86_64,2
suricata,fuzz_applayerparserparse,x86_64,2
suricata,fuzz_applayerparserparse_tls,x86_64,1
suricata,fuzz_mimedecparseline,x86_64,1
suricata,fuzz_siginit,x86_64,1
suricata,fuzz_sigpcap,x86_64,7
suricata,fuzz_sigpcap_aware,x86_64,1
systemd,fuzz-bootspec,x86_64,1
systemd,fuzz-network-parser,x86_64,3
systemd,fuzz-systemctl-parse-argv,x86_64,1
tarantool,lua_load_test,x86_64,1
tarantool,luaL_loadbuffer_fuzzer,x86_64,7
tcmalloc,profile_builder_fuzz,x86_64,3
tidy-html5,tidy_parse_string_fuzzer,x86_64,1
tinyusb,cdc,x86_64,1
tmux,input-fuzzer,x86_64,2
tpm2,tpm2_execute_command_fuzzer,x86_64,1
trafficserver,fuzz_http3frame,x86_64,2
trafficserver,fuzz_yamlcpp,x86_64,1
unbound,fuzz_1_fuzzer,x86_64,2
unicorn,fuzz_emu_arm64_armbe,x86_64,1
unicorn,fuzz_emu_arm_arm,x86_64,4
unicorn,fuzz_emu_arm_armbe,x86_64,14
unicorn,fuzz_emu_arm_thumb,x86_64,11
unicorn,fuzz_emu_mips_32be,x86_64,1
unicorn,fuzz_emu_x86_32,x86_64,2
unrar,unrar_fuzzer,x86_64,1
upx,list_packed_file_fuzzer,x86_64,1
upx,test_packed_file_fuzzer,x86_64,1
usrsctp,fuzzer_connect,x86_64,4
usrsctp,fuzzer_listen,x86_64,1
util-linux,test_blkid_fuzz,x86_64,1
util-linux,test_fdisk_script_fuzz,i386,1
vlc,vlc-demux-dec-libfuzzer-avi,x86_64,1
vlc,vlc-demux-dec-libfuzzer-h265,x86_64,2
vlc,vlc-demux-dec-libfuzzer-mp4,x86_64,2
vlc,vlc-demux-dec-libfuzzer-ty,x86_64,1
vlc,vlc-demux-dec-libfuzzer-wav,x86_64,1
vlc,vlc-demux-dec-libfuzzer-webvtt,x86_64,1
vlc,vlc-demux-libfuzzer,x86_64,1
vulkan-loader,instance_create_fuzzer,x86_64,1
w3m,fuzz_conv,x86_64,1
wabt,read_binary_interp_fuzzer,x86_64,1
wabt,read_binary_ir_fuzzer,x86_64,2
wabt,wasm2wat_fuzzer,i386,5
wabt,wasm2wat_fuzzer,x86_64,6
wabt,wasm_objdump_fuzzer,x86_64,1
wamr,wasm_mutator_fuzz_loader,x86_64,1
wasm3,fuzzer,x86_64,13
wasmedge,wasmedge-fuzztool,x86_64,4
wavpack,fuzzer,x86_64,9
wget2,wget_options_fuzzer,x86_64,1
wireshark,fuzzshark_ip,x86_64,16
wireshark,fuzzshark_ip_proto-udp,x86_64,11
wireshark,fuzzshark_media_type-json,x86_64,1
wireshark,fuzzshark_tcp_port-bgp,x86_64,1
wireshark,fuzzshark_udp_port-dns,x86_64,1
wolfmqtt,wolfmqtt-fuzzer,i386,4
wolfmqtt,wolfmqtt-fuzzer,x86_64,9
wolfssl,cryptofuzz-openssl-api,x86_64,2
wolfssl,cryptofuzz-sp-math-all,x86_64,1
wolfssl,fuzzer-wolfssh-client,x86_64,1
wolfssl,fuzzer-wolfssh-client-randomize,x86_64,2
wolfssl,fuzzer-wolfssh-server,x86_64,4
wolfssl,fuzzer-wolfssh-server-randomize,x86_64,1
wolfssl,fuzzer-wolfssl-client,x86_64,1
wolfssl,fuzzer-wolfssl-client-randomize,x86_64,3
wolfssl,fuzzer-wolfssl-ocsp,x86_64,2
wolfssl,fuzzer-wolfssl-rsa,x86_64,2
wolfssl,fuzzer-wolfssl-server,x86_64,2
wolfssl,fuzzer-wolfssl-server-randomize,x86_64,1
wuffs,pixel_swizzler_fuzzer,i386,1
yara,dotnet_fuzzer,x86_64,9
yara,macho_fuzzer,x86_64,2
yara,pe_fuzzer,x86_64,2
yara,rules_fuzzer,x86_64,1
zstd,block_decompress,x86_64,1
zstd,dictionary_loader,x86_64,1
zstd,dictionary_stream_round_trip,x86_64,1
zstd,sequence_compression_api,x86_64,2
zstd,simple_compress,x86_64,3
zstd,simple_decompress,x86_64,2
